⊿獴獶安,獴獶安,⊿獴安ら,獴安ら
0.063,0.071,0.071,0.072
 0.21,0.183,0.149,0.138
0.009, 0.01,0.005,0.006
0.047,0.055,0.051,0.055
0.049,0.049,0.067,0.067
0.003,0.002,0.003,0.002
0.001,0.001,0.001,0.001
0.015,0.016,0.018,0.019
0.022,0.018,0.031,0.033
0.053,0.051,0.066,0.066
 0.02, 0.02, 0.01,0.011
0.016,0.017,0.018,0.016
0.012,0.012,0.018, 0.02
0.009,0.006,0.009,0.007
0.085,0.099,0.065,0.072
0.025,0.029,0.015,0.017
0.006,0.005,0.009,0.008
0.006,0.005,0.006,0.007
0.003,0.003,0.003,0.004
0.005,0.006,0.005,0.005
0.035,0.037,0.039,0.039
0.003,0.003,0.004,0.003
0.003,0.003,0.004,0.004
0.001,0.001,0.001,0.001
 0.01,0.009,0.008,0.009
0.004,0.004,0.006,0.007
0.001,0.001,0.001,0.001
  0.0,  0.0,  0.0,  0.0
0.004,0.003,0.007,0.006
0.001,0.001,0.001,0.001
  0.0,  0.0,  0.0,  0.0
0.011, 0.01,0.018,0.016
0.008,0.007,0.007,0.008
0.004,0.004,0.004,0.004
0.004,0.004,0.005,0.005
0.002,0.002,0.003,0.002
0.001,0.001,0.002,0.002
0.001,0.001,0.001,0.001
0.002,0.002,0.002,0.003
0.002,0.001,0.001,0.002
0.002,0.002,0.002,0.002
0.005,0.005,0.011,0.011
0.008,0.008,0.009,0.008
0.012,0.013,0.013,0.013
0.003,0.002,0.005,0.005
0.038,0.042,0.035,0.036
0.004,0.003,0.003,0.002
0.001,0.001,0.001,0.001
0.003,0.003,0.003,0.002
0.002,0.002,0.003,0.004
0.033,0.033, 0.03,0.029
 0.01,0.011,0.011,0.012
0.003,0.003,0.004,0.004
0.003,0.003,0.003,0.003
0.006,0.005,0.011, 0.01
0.005,0.005,0.005,0.005
0.001,0.001,0.001,0.001
0.001,0.001,0.003,0.003
  0.0,  0.0,0.001,  0.0
0.002,0.002,0.002,0.002
  0.0,  0.0,  0.0,  0.0
0.001,0.001,  0.0,0.001
0.001,0.001,0.002,0.001
0.006,0.006,0.006,0.005
0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001
0.013,0.012,0.011, 0.01
  0.0,  0.0,  0.0,0.001
  0.0,  0.0,  0.0,0.001
  0.0,  0.0,  0.0,  0.0
  0.0,  0.0,0.001,0.001
0.001,0.001,0.001,0.001
0.001,0.001,0.002,0.002
0.015,0.015,0.014,0.016
0.001,0.001,0.002,0.001
0.002,0.003,0.003,0.003
