Date,DayNum,Precp,Time,T
2014-01-01,1,0.0,0.0,0
2014-01-02,2,0.0,0.0,0
2014-01-03,3,0.0,0.0,0
2014-01-04,4,0.05,0.3,1
2014-01-05,5,0.0,0.0,0
2014-01-06,6,0.0,0.0,0
2014-01-07,7,0.0,0.0,0
2014-01-08,8,5.75,4.5,5
2014-01-09,9,4.55,16.9,11
2014-01-10,10,0.0,0.0,0
2014-01-11,11,0.0,0.0,0
2014-01-12,12,0.6,2.5,2
2014-01-13,13,0.85,9.8,11
2014-01-14,14,11.85,15.2,7
2014-01-15,15,0.0,0.0,0
2014-01-16,16,0.0,0.0,0
2014-01-17,17,0.0,0.0,0
2014-01-18,18,0.0,0.0,0
2014-01-19,19,0.0,0.0,0
2014-01-20,20,0.1,0.6,2
2014-01-21,21,0.0,0.0,0
2014-01-22,22,0.0,0.0,0
2014-01-23,23,0.0,0.0,0
2014-01-24,24,0.0,0.0,0
2014-01-25,25,0.0,0.0,0
2014-01-26,26,0.0,0.0,0
2014-01-27,27,0.0,0.0,0
2014-01-28,28,0.0,0.0,0
2014-01-29,29,0.0,0.0,0
2014-01-30,30,0.0,0.0,0
2014-01-31,31,0.0,0.0,0
2014-02-01,32,0.0,0.0,0
2014-02-02,33,0.0,0.0,0
2014-02-03,34,0.0,0.0,0
2014-02-04,35,1.65,3.2,3
2014-02-05,36,11.1,14.1,2
2014-02-06,37,0.65,2.3,3
2014-02-07,38,2.95,18.5,19
2014-02-08,39,14.75,11.6,5
2014-02-09,40,84.5,24.0,0
2014-02-10,41,7.35,8.4,7
2014-02-11,42,4.45,22.6,19
2014-02-12,43,17.75,22.6,5
2014-02-13,44,17.3,16.3,6
2014-02-14,45,12.0,16.9,10
2014-02-15,46,0.1,1.5,2
2014-02-16,47,0.8,5.0,6
2014-02-17,48,0.0,0.0,0
2014-02-18,49,5.2,10.4,4
2014-02-19,50,22.4,21.3,8
2014-02-20,51,0.0,0.0,0
2014-02-21,52,0.0,0.0,0
2014-02-22,53,0.05,0.4,1
2014-02-23,54,0.0,0.0,0
2014-02-24,55,0.0,0.0,0
2014-02-25,56,0.0,0.0,0
2014-02-26,57,0.0,0.0,0
2014-02-27,58,0.0,0.0,0
2014-02-28,59,0.0,0.0,0
2014-03-01,60,0.05,0.2,1
2014-03-02,61,3.75,6.3,5
2014-03-03,62,9.65,7.0,3
2014-03-04,63,10.25,11.7,5
2014-03-05,64,12.05,6.2,1
2014-03-06,65,10.4,18.3,8
2014-03-07,66,13.85,17.2,7
2014-03-08,67,13.4,19.1,8
2014-03-09,68,6.25,9.1,5
2014-03-10,69,0.1,1.3,2
2014-03-11,70,0.1,0.9,2
2014-03-12,71,10.75,6.2,5
2014-03-13,72,22.0,11.5,10
2014-03-14,73,0.0,0.0,0
2014-03-15,74,0.0,0.0,0
2014-03-16,75,0.0,0.0,0
2014-03-17,76,0.0,0.0,0
2014-03-18,77,0.0,0.0,0
2014-03-19,78,0.0,0.0,0
2014-03-20,79,1.1,1.0,2
2014-03-21,80,1.2,5.4,4
2014-03-22,81,0.0,0.0,0
2014-03-23,82,0.0,0.0,0
2014-03-24,83,0.0,0.0,0
2014-03-25,84,0.0,0.0,0
2014-03-26,85,0.0,0.0,0
2014-03-27,86,0.0,0.0,0
2014-03-28,87,0.0,0.0,0
2014-03-29,88,19.5,2.5,0
2014-03-30,89,0.0,0.0,0
2014-03-31,90,16.3,7.3,6
2014-04-01,91,7.35,12.8,7
2014-04-02,92,0.0,0.0,0
2014-04-03,93,1.8,3.3,6
2014-04-04,94,0.05,0.2,1
2014-04-05,95,0.0,0.0,0
2014-04-06,96,0.15,2.3,3
2014-04-07,97,8.45,17.5,9
2014-04-08,98,0.55,1.3,1
2014-04-09,99,0.15,0.3,1
2014-04-10,100,0.0,0.0,0
2014-04-11,101,0.0,0.0,0
2014-04-12,102,0.0,0.0,0
2014-04-13,103,0.0,0.0,0
2014-04-14,104,0.0,0.0,0
2014-04-15,105,0.0,0.0,0
2014-04-16,106,0.0,0.0,0
2014-04-17,107,0.05,0.3,1
2014-04-18,108,0.0,0.0,0
2014-04-19,109,1.0,0.8,0
2014-04-20,110,1.15,3.7,3
2014-04-21,111,0.0,0.0,0
2014-04-22,112,2.1,2.7,2
2014-04-23,113,0.1,0.3,2
2014-04-24,114,31.55,9.4,1
2014-04-25,115,7.35,7.9,7
2014-04-26,116,35.25,5.8,5
2014-04-27,117,0.05,0.1,1
2014-04-28,118,0.0,0.0,0
2014-04-29,119,0.0,0.0,0
2014-04-30,120,4.0,11.7,10
2014-05-01,121,20.4,22.1,8
2014-05-02,122,0.0,0.0,0
2014-05-03,123,0.0,0.0,0
2014-05-04,124,0.15,0.4,3
2014-05-05,125,33.1,15.2,12
2014-05-06,126,6.0,17.2,10
2014-05-07,127,3.25,9.1,5
2014-05-08,128,0.0,0.0,0
2014-05-09,129,12.25,10.4,5
2014-05-10,130,0.15,1.5,3
2014-05-11,131,0.05,0.2,1
2014-05-12,132,2.0,0.9,0
2014-05-13,133,0.55,1.2,1
2014-05-14,134,0.0,0.0,0
2014-05-15,135,32.8,9.6,6
2014-05-16,136,1.7,2.4,4
2014-05-17,137,0.0,0.0,0
2014-05-18,138,1.2,1.7,4
2014-05-19,139,11.1,6.0,2
2014-05-20,140,171.75,11.1,5
2014-05-21,141,242.2,22.5,4
2014-05-22,142,6.7,9.9,4
2014-05-23,143,2.85,6.4,7
2014-05-24,144,0.55,0.9,1
2014-05-25,145,0.0,0.0,0
2014-05-26,146,0.0,0.0,0
2014-05-27,147,6.1,2.9,2
2014-05-28,148,1.7,1.5,0
2014-05-29,149,79.2,15.0,4
2014-05-30,150,3.2,5.8,4
2014-05-31,151,0.55,0.3,1
2014-06-01,152,0.0,0.0,0
2014-06-02,153,0.0,0.0,0
2014-06-03,154,0.35,0.9,3
